id, districts, population
1, Střed, 82878
2, Žabovřesky, 19490
3, Královo Pole, 23280
4, Sever, 43028
5, Židenice, 19219
6, Černovice, 6955
7, Jih, 7608
8, Bohunice, 13026
9, Starý Lískovec, 12556
10, Nový Lískovec, 10064
11, Kohoutovice, 12388
12, Jundrov, 4054
13, Bystrc, 23539
14, Kníničky, 1011
15, Komín, 7284
16, Medlánky, 5309
17, Řečkovice a Mokrá Hora, 14389
18, Maloměřice a Obřany, 5232
19, Vinohrady, 12386
20, Líšeň, 25002
21, Slatina, 8664
22, Tuřany, 5205
23, Chrlice, 3187
24, Bosonohy, 2366
25, Žebětín, 4115
26, Ivanovice, 1672
27, Jehnice, 1055
28, Ořešín, 573
29, Útěchov, 785
