OBJECTID,Date,Dead,Serious injuries,Light injuries,Day of the week,Day/Night,Type of the accident,Cause of the accident,Alcohol or drugs,Weather conditions,Place,Vehicle type,Vehicle characteristic,Skid,Total damage in Czk,x,y
1,12/31/2017,0,0,0,Sunday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,70000,1853598.147928719,6307110.247018974
2,12/31/2017,0,0,0,Sunday,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,10000,1850299.5027287698,6306322.379413589
3,12/31/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1856192.0230872438,6310267.745678988
4,12/30/2017,0,0,0,Saturday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848383.8097305323,6311573.737810247
5,12/30/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844027.3373770225,6311633.715113528
6,12/30/2017,0,0,0,Saturday,Night,Crash,The driver of the motor vehicle,No,Other dificult,Parking slot adjacent to the road,Truck,Private company,Yes,10000,1849740.69992437,6312158.952758918
7,12/29/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1851452.8310961218,6307145.052404699
8,12/29/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847633.086001432,6308819.094761577
9,12/29/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1844028.0947948387,6304852.543188026
10,12/28/2017,0,0,1,Thursday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,Under influence of drugs,"At the beginning of the rain, light rain, drizzle, etc.",Pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,120000,1849663.4140301791,6308228.364446626
