objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
1,2020/12/31 00:00,0,0,0,Sun,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,70000,1853598.147928719,6307110.247018974,49.18969541300004,16.65115546900006
2,2020/12/31 00:00,0,0,0,Sun,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,10000,1850299.5027287698,6306322.379413589,49.18506962600002,16.621523235000037
3,2020/12/31 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1856192.0230872438,6310267.745678988,49.20822961500004,16.674456646000063
4,2020/12/30 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848383.8097305323,6311573.737810247,49.21589362800005,16.604314272000064
5,2020/12/30 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844027.3373770225,6311633.715113528,49.21624556700004,16.565179415000046
6,2020/12/30 00:00,0,0,0,Sat,Night,Crash,The driver of the motor vehicle,No,Other dificult,Parking slot adjacent to the road,Truck,Private company,Yes,10000,1849740.69992437,6312158.952758918,49.21932748600005,16.61650342400003
7,2020/12/29 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1851452.8310961218,6307145.052404699,49.189899755000056,16.63188376000005
8,2020/12/29 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847633.086001432,6308819.094761577,49.19972704100007,16.597570406000045
9,2020/12/29 00:00,0,0,0,Fri,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1844028.0947948387,6304852.543188026,49.176438658000045,16.56518621900005
10,2020/12/28 00:00,0,0,1,Thu,Night,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of drugs,"At the beginning of the rain, light rain, drizzle, etc.",Pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,120000,1849663.4140301791,6308228.364446626,49.19625944500006,16.615809153000043
